goal,status,structured_revision_count,goal_archive_count,report_count,ad_hoc_review_count,primary_structured_revision,primary_goal_archive,sample_report,sample_ad_hoc_review
448,report_or_review_only,0,0,3,1,,,docs/reports/goal448_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal448-v0_7-db-columnar-packaging-manifest.md
449,report_or_review_only,0,0,6,1,,,docs/reports/goal449_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal449-v0_7-packaging-manifest-validation-gate.md
450,report_or_review_only,0,0,4,1,,,docs/reports/goal450_columnar_repeated_query_perf_linux_2026-04-16.json,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal450-v0_7-linux-correctness-and-performance-refresh.md
451,report_or_review_only,0,0,4,1,,,docs/reports/goal451_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal451-v0_7-postgresql-baseline-index-audit.md
452,report_or_review_only,0,0,6,1,,,docs/reports/goal452_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal452-v0_7-rtdl-vs-best-tested-postgresql-perf-rebase.md
453,report_or_review_only,0,0,3,1,,,docs/reports/goal453_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal453-v0_7-release-facing-performance-wording-refresh.md
454,report_or_review_only,0,0,4,1,,,docs/reports/goal454_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal454-v0_7-post-wording-evidence-package-validation.md
455,report_or_review_only,0,0,3,1,,,docs/reports/goal455_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal455-v0_7-post-454-packaging-manifest-refresh.md
456,report_or_review_only,0,0,5,1,,,docs/reports/goal456_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal456-v0_7-pre-stage-filelist-ledger.md
457,report_or_review_only,0,0,3,1,,,docs/reports/goal457_external_review_2026-04-16.md,history/ad_hoc_reviews/2026-04-16-codex-consensus-goal457-v0_7-manual-review-path-resolution.md
